date,pm25,T2M,RH2M,WS2M,pm25_lag_1,pm25_lag_7,month,smog_season
2022-01-08,97.79166666666667,13.58,87.86,3.15,117.375,309.1666666666667,1,1
2022-01-09,98.125,11.25,82.62,1.15,97.79166666666667,301.625,1,1
2022-01-10,218.375,10.94,74.28,0.94,98.125,180.79166666666666,1,1
2022-01-11,162.5,9.84,76.73,1.38,218.375,124.25,1,1
2022-01-12,371.0,11.16,67.58,0.99,162.5,88.625,1,1
2022-01-13,197.5,12.33,64.34,0.74,371.0,160.54166666666666,1,1
2022-01-14,263.3333333333333,11.64,69.79,1.2,197.5,117.375,1,1
2022-01-15,305.5416666666667,11.94,64.38,1.07,263.3333333333333,97.79166666666667,1,1
2022-01-16,282.6666666666667,12.37,56.78,1.25,305.5416666666667,98.125,1,1
2022-01-17,356.5833333333333,10.89,61.36,1.09,282.6666666666667,218.375,1,1
2022-01-18,328.0416666666667,11.9,66.65,1.36,356.5833333333333,162.5,1,1
2022-01-19,270.5,11.68,81.48,0.96,328.0416666666667,371.0,1,1
2022-01-20,185.5,12.25,80.64,1.22,270.5,197.5,1,1
2022-01-21,115.83333333333333,12.73,72.3,0.98,185.5,263.3333333333333,1,1
2022-01-22,118.125,11.13,87.63,2.51,115.83333333333333,305.5416666666667,1,1
2022-01-23,86.875,11.6,91.09,0.98,118.125,282.6666666666667,1,1
2022-01-24,167.29166666666666,10.96,85.36,1.17,86.875,356.5833333333333,1,1
2022-01-25,147.95833333333334,10.41,79.71,1.39,167.29166666666666,328.0416666666667,1,1
2022-01-26,267.5833333333333,10.48,70.35,1.26,147.95833333333334,270.5,1,1
2022-01-28,174.0,10.71,60.35,1.57,267.5833333333333,185.5,1,1
2022-01-29,236.125,12.26,56.16,1.09,174.0,115.83333333333333,1,1
2022-01-30,188.79166666666666,11.95,66.21,1.76,236.125,118.125,1,1
2022-01-31,255.0,14.24,59.64,1.11,188.79166666666666,86.875,1,1
2022-02-01,321.8181818181818,13.15,65.28,1.25,255.0,167.29166666666666,2,1
2022-02-02,160.27272727272728,12.97,65.95,1.2,321.8181818181818,147.95833333333334,2,1
2022-02-03,133.45833333333334,11.34,85.95,1.38,160.27272727272728,267.5833333333333,2,1
2022-02-04,225.27272727272728,11.04,79.47,0.87,133.45833333333334,174.0,2,1
2022-02-05,203.75,12.25,65.66,0.92,225.27272727272728,236.125,2,1
2022-02-06,170.26315789473685,13.09,58.08,1.1,203.75,188.79166666666666,2,1
2022-02-07,151.20833333333334,13.51,65.9,1.02,170.26315789473685,255.0,2,1
2022-02-08,153.83333333333334,13.68,61.37,1.33,151.20833333333334,321.8181818181818,2,1
2022-02-09,180.45833333333334,14.17,58.45,1.42,153.83333333333334,160.27272727272728,2,1
2022-02-10,163.38095238095238,12.83,63.17,1.6,180.45833333333334,133.45833333333334,2,1
2022-02-11,137.20833333333334,12.17,61.36,1.85,163.38095238095238,225.27272727272728,2,1
